18/07/2024     LISTADO TESTIGO PERSONAL SIN PRESENTISMO      P g.


          Nro Control    Planta        Mes        Anio
          06001085          P          07          24
          15023532          P          07          24
          15024114          P          07          24
          15021925          P          07          24
          15022374          P          07          24
          76175745          P          07          24
          76184723          P          07          24
          76244104          P          07          24
          77227314          P          07          24
          76189082          P          07          24
          76323291          P          07          24
          76236295          P          07          24
          76180481          P          07          24
          76203991          P          07          24
          77333204          P          07          24
          76254133          C          07          24
          76175834          P          07          24
          76175622          P          07          24
          08000212          P          07          24
          01015791          P          07          24
          13010534          P          07          24
          01017675          P          07          24
          77284413          C          07          24
          77232733          P          07          24
          77321485          C          07          24
          77317091          C          07          24
          77286295          P          07          24
          77282673          C          07          24
          77280862          C          07          24
          77218263          P          07          24
          77296554          C          07          24
          77155541          P          07          24
          77251583          C          07          24
          77320311          C          07          24
          77104354          P          07          24
          77142292          P          07          24
          77212974          P          07          24
          73006292          P          07          24
          66013341          C          07          24
          73108002          P          07          24
          66014245          C          07          24
          77192771          P          07          24
          77263051          P          07          24
          15017913          P          07          24
          15011483          P          07          24
          15022612          P          07          24
          73150821          P          07          24
          15005322          P          07          24
          15020034          P          07          24
          15021022          P          07          24
          15015652          P          07          24
          73003184          P          07          24
          15017714          P          07          24
          15026491          P          07          24
          15031263          C          07          24
          73007845          P          07          24
          73012793          C          07          24
          82010131          P          07          24
          15020631          P          07          24
          15022463          P          07          24
          77262924          P          07          24
          82008723          P          07          24
          77327915          C          07          24
          82008524          C          07          24
          82012183          C          07          24
          82007374          P          07          24
          23069185          P          07          24
          15011491          P          07          24
          77109812          P          07          24
          42002052          C          07          24
          42001404          P          07          24
          70218103          P          07          24
          82011865          P          07          24
          70124171          P          07          24
          82011022          P          07          24
          70287995          P          07          24
          43011182          P          07          24
          43012243          P          07          24
          82008663          P          07          24
          43014282          P          07          24
          43013634          P          07          24
          70318351          P          07          24
          43004855          P          07          24
          43011734          P          07          24
          73122975          P          07          24
          43008833          P          07          24
          43009012          P          07          24
          01025555          C          07          24
          43008663          P          07          24
          75232725          P          07          24
          73003655          P          07          24
          70316464          P          07          24
          73005474          C          07          24
          77247351          P          07          24
          73006373          C          07          24
          82012175          C          07          24
          77197352          P          07          24
          73000911          P          07          24
          82013095          P          07          24
          49013294          P          07          24
          77235901          P          07          24
          70014371          P          07          24
          77266012          P          07          24
          49006611          P          07          24
          49013391          P          07          24
          73009892          C          07          24
          70322643          C          07          24
          77245935          P          07          24
          70269625          P          07          24
          70226601          P          07          24
          75178141          P          07          24
          01013383          P          07          24
          52011912          P          07          24
          52006713          C          07          24
          77317635          C          07          24
          76199095          P          07          24
          77318741          C          07          24
          76170083          P          07          24
          75246363          P          07          24
          77334302          C          07          24
          73000681          P          07          24
          51005584          P          07          24
          77316354          C          07          24
          16003794          P          07          24
          01020602          C          07          24
          37001234          P          07          24
          06001124          P          07          24
          01022471          P          07          24
          01023464          P          07          24
          77125012          P          07          24
          15032811          P          07          24
          73008375          C          07          24
          16004635          P          07          24
          73006784          P          07          24
          66013045          C          07          24
          15023561          P          07          24
          15028862          C          07          24
          73007811          C          07          24
          77230304          P          07          24
          15901612          C          07          24
          77332902          C          07          24
          01017141          P          07          24
          06000571          P          07          24
