NUMERO DE ESCUELA;CATEGORIA;TURNO;NOMBRE ESPECIAL;LOCALIDAD;DEPARTAMENTO;CODIGO UNICO;CUISE
204;1º;M-T-;Jose Jacinto Berutti;Bandera ;Belgrano;8601634;02045
207;2º;M;Roberto Leviller;Higuera Chacra;Robles;8600692;02076
208;2º;M;Nicolas Juarez;Mal Paso;Capital;8601665;02084
210;2º;M;Coronel Lorenzo Lugones ;Lilo Viejo;Moreno;8600300;02103
211;2º;M-T-;Republica del Paraguay;El Cabure;Copo;8601406;02111
216;2º;M;Provincia de Rio Negro;Sotelo ;Rio Hondo;8600892;02165
226;1º;M-T-;Francisco de Aguirre;Nestor D. Juarez y Julio A. Gerez ;Banda;8600321;02262
227;2º;M-;E.E.U.U.Norteamerica;Cardon Esquina;Figueroa;8600813;02277
231;1º;M-T-;Jose Hernandez;Gregorio Iramain Nº 1064 Bº Gral Paz ;Capital;8601347;02312
232;1º;M-T-;Naciones Unidas;Avda Besares 2101 Bº Tabla Redonda ;Banda;8600932;02327
237;1º;M-T-;Ricardo Rojas;Libertad 2955 telefono 4390419;Capital;8601343;02374
243;1º;M-T-;Manuel Alberti;Frias ;Choya;8601130;02432
252;1º;M-T-;Jose B de Rueda;Buey Muerto;Robles;8601446;02521
254;1º;M-T-;Jose Manuel Estrada;Cervantes y Lavalle;Banda;8601129;02544
256;1º;M-T-;Gaucho Antonio Rivero;Invernada Norte;Figueroa;8601516;02567
265;2º;M;Jose Benito Lescano;Machaguay Huanchina;Figueroa;8601519;02656
268;2º;M;Gobernador Manuel Caceres ;Rodeo de Soria;Capital;8601012;02687
281;1º;M-T-;Henry Dunant;Santa fe 2478 Bº Juramento;Capital;8601012;02811
284;2º;M;Juana Briones ;Santa Elena;Banda;8601367;02842
292;2º;M;Jose M Achaval;Pje.Gramilla  ;Avellaneda;8600398;02923
313;1º;M-T-;Santa Rosa de Lima;Monte Quemado;Copo;8600965;03137
319;2º;M;;Los Diaz;Banda;8600875;03192
328;2º;M;Pablo A. Truyenque;Colonia Gamara;Banda;8601540;03281
336;1º;M-T-;Francisco Pizarro;Monte Quemado;Copo;8600966;03362
339;1º;M-I-T-;Jose Silvano Faraht;Barrrio: Villa Rosita;Banda;8601126;03393
341;1º;M-T-;Pedro Onofre Perillo;Costa Rica S/N Bº Rio Dulce;Banda;8601138;03412
342;1º;M-T-;Jose F Castiglione;Carola Lorenzini Bº Jorge Newbery;Capital;8601666;03427
345;2º;M;Brig.Juan Manuel de Rosas ;El Porvenir;Rio Hondo;8601574;03451
346;2º;M;Dora Argentina Pece de Barraza;Yacu Chiri;Atamisqui;8600591;03466
350;1º;M-T-;San Pablo; San Pablo;Rio Hondo;8600887;03501
371;2º;M;;La Reserva;Rio Hondo;8600420;03717
375;1º;M-T-;Mercedes Salabarry Irurzum;Dorrego 1430 La Banda;Banda;8601152;03756
380;2º;M; ;Peruaj Bajo;Copo;8600560;03806
388;1º;M-T-;Gumercindo Sayago;Avda. Madre Ciudades Dr. Abdala Auat;Capital;8601346;003884
389;1º;M-T-;Antenor Alvarez;Calle 55 Nº 46 BºEjercito Arg. Telefono 4319872;Capital;8601400;03892
398;1º;M-T-;Martin Uriondo;Fray Ignacio Aguirre 1732 Bº Indep.;Capital;8601272;03981
402;2º;M-;Jorge Trejo;Donadeu;Alberdi;8600165;04021
407;1º;M-T-;Ricardo Rojas;Rivadavia 1517;Capital;8601279;04075
409;1º;M-T-;Manuel Lainez;Larrea y Comb.de los pozos;Banda;8601127;04091
412;2º;M;Madre Maria;La Ribera;Robles;8600660;04125
418;1º;M-T-;Jose Raul Villagran ;Nueva Esperanza;Pellegrini;8601077;04187
421;1º;M-T-;Mademe Curie;Monte Quemado ;Copo;8601639;04214
427;2º;M;Carlos Maria Perez Lobo;Monte Redondo;Loreto;8601608;04276
430;2º;M;Apolinaria Paz  de Castaño;El Boqueron Resl. 3878 26/12/16 (cambio de categ.);Atamisqui;8601409;04303
442;2º;M;Matilde de  Burany;La Costa;Avellaneda;8601233;04423
446;1º;M-T-;Dr.Carlos Coronel;Dorrego y Bolivia;Banda;8601145;04462
448;2º;M;Juan Mario Dorola ;Los Pocitos;Taboada;8601180;04485
450;2º;M;Estrella del Bicentenario ;El Rodeo;Choya;8601337;04504
455;2º;M;;Cañada Tala Pozo;Rio Hondo;8600456;04551
468;2º;M;Elias Gubaira;Herrera ;Avellaneda;8600391;04686
472;2º;M;Antonio Assefh;El Cuadrado ;Ibarra;8600185;04721
474;2º;M;Divino Niño Jesús ;Las Tinajas;Moreno;8601680;04744
477;2º;M;Nuestra Sra.del Rosario;Taco Pozo;Pellegrini;8600055;04775
482;2º;M;María A. Beltran;Puesto de Beltran;Loreto;8600911;04825
483;2º;M;Nuestra Sra. de la Merced;Lote 5;Taboada;8601039;04833
484;2º;M;La Estrella;Tomas Young;Taboada;8601027;04841
492;2º;M-T-;Jose Reyes Salinas;Villa Abregu (Añatuya);Taboada;8600171;04922
496;2º;M;Mayor Juan C.Leonetti;El Quebrachal;Robles;8601448;04961
499;2º;M;Pedro Enrique Soto;Colonia Alcira;Avellaneda;8600400;04992
500;1º;M-T-; ;Los Pirpintos;Copo;8601407;05001
501;2º;M;Los Inmigrantes;La Nena;Taboada;8601670;05016
502;2º;M;Jorge W. Avalos;Puente Negro;Avellaneda;8601133;05024
503;2º;M;;Paso Grande;Avellaneda;8600394;05032
507;2º;M;Berta R. Vicente;Medellin;Atamisqui;8600585;05071
533;2º;M;Director Mariano Moreno;Chilca Juliana;Salavina;8600472;05337
539;2º;M;Escuela de la Patria;El Colorado;Ibarra;8600434;05392
542;1º;M-T-;Agust.Palacios de Libarona;Avda. Antenor Albarez Bº Jorge Newbery;Capital;8600269;05426
571;2º;M-T-;Mario F. Moreno;Col.San Juan;Figueroa;8600793;05716
579;2º;M-T-;Manuel Fariña Sedame;Pozo Betbeder;Pellegrini;8601165;05794
588;2º;M;;El 90;Loreto;8600909;05883
599;2º;M;Divino Corazón de María;El Churqui;Jimenez;8601433;05995
602;2º;M-;;La Candelaria;Copo;8600549;06027
607;1º;M-T-;Cabo II Ramon Ordoñez;Villa Balnearia;Rio Hondo;8601562;06074
608;2º;M;;El Pirucho;Figueroa;8601512;06082
625;2º;M;;Km. 477;Ibarra;8600186;06252
635;2º;M;Jose Ignacio Jota;Los Angeles;Banda;8601541;06356
646;1º;M-T-;;Laprida  1005;Banda;8600855;06461
648;2º;M;;Canal Melero;Taboada;8601674;06484
650;2º;M;;El Bordo;Pellegrini;8600044;06503
658;2º;M-T-;Ntra. Sra. De los  Milagros;Km.49;Ojo de Agua; ;06581
673;1º;M-T-;Fuerzas Armadas;Las Termas;Rio Hondo;8600427;06735
674;2º;M;Autonomia Provincial;Lujan;Guasayan;8601652;06743
675;1º;M-T-;Mario Americo Seiler;Suncho Corral;Ibarra;8601193;06751
676;1º;M-T-;creada /2010 res. 909/10;Los Juríes;Taboada;860208300;06766
677;1º;M-T-;Jose de San Martin;Avda. Belgrano 295;Banda;8601122;06774
680;2º;M;Padre Rolando Nadeau;La Soledad;Rio Hondo;8600601;06801
703;2º;M;;Bº Mailin Campo Gallo;Alberdi;8600238;07031
714;2º;M;Francisco Rizzuto;Cartavio;Figueroa;8600792;07143
717;2º;M-T-;Justina C. de Gallo;Puerta Grande;Atamisqui;8600586;07174
718;1º;M-T-;Maria Auxiliadora;Dr. Nerio Rojas S/N Mza. 27 Bº Smata;Capital;8601699;07182
719;1º;M-I-T-;Blas Parera; Jose Benjamin Abalos 4302 Bº Alte Brown;Capital;8601270;07197
723;2º;M;Francisco Jesus Lescano;Los Lescanos;Rio Hondo;8600840;07232
724;1º;M-T-;;El Bobadal;Jimenez;8601473;07247
728;2º;M;Ehgli C.F.R. Maurizio;La Aguada;Rio Hondo;8601534;07286
731;1º;M;Combate de San Lorenzo;Colonia Dora;Avellaneda;8601132;07313
733;2º;M;Patricios Santiagueños;Guarda Escolta;Belgrano;8600947;07336
736;2º;M;Mario Alejandro Castro;Villa Union;Mitre;8600059;07367
737;1º;M-T-;Mons. Jose Weimann;Pinto;Aguirre;8601170;07375
746;2º;M;Mercedes de Arzuaga;San Carlos;Banda;8600930;07464
748;1º;M-T-;Bernardino Rivadavia;Villa Atamisqui;Atamisqui;8601412;07487
750;1º;M-T-;Dr.Eliseo Fringes;Frias;Choya;8601114;07506
751;1º;M;Teniente General Juan Carlos Sanchez ;Bandera;Belgrano;8601629;07514
752;1º;M-T-;Cristobal Segundo Rivero;Tacañitas;Taboada;8601673;07522
754;1º;M-T-;Dr.Jose R.Mejias;Gorostiaga y san Martin  Clodomira;Banda;8601370;07545
755;2º;M;Batalla de Maipu;El Charco;Jimenez;8601431;07553
757;1º;M-T-;Pedro Gil Heredia;Quebrada Esquina;Pellegrini;8600038;07576
760;2º;M;Cabo Nestor Cordoba;Fortin Inca;Belgrano;8600946;07603
761;1º;M-T-;Rafael Obligado;Las Termas;Rio Hondo;8601334;07611
762;1º;M-T-;Baltazar y Alcorta;Hipólito Irigoyen y Ricard Rojas;Capital;8601327;07626
763;1º;M-T-;Presidente Arturo Illia;2 de Septiem.y Avda.Ingenio Contreras;Capital;;07634
764;1º;M-T-;Diego de Rojas;Balcarce 329;Capital;8601216;07642
765;1º;M-T-;Juan Domingo Peron;Libertad y Aguirre telef.4390516;Capital;8601342;07657
766;1º;M-T-;Esteb an De Luca;Rapelli;Pellegrini;8600121;07665
770;1º;M-T-;Dante Franzzini;El Mojon;Pellegrini;8601184;07707
772;1º;M-T-;Leopoldo Lugones;Villa Ojo de Agua;Ojo de Agua;8600786;07723
774;1º;M-T-;Regimiento de Infantería 1º de Patricios;Añatuya;Taboada;8601085;07746
775;1º;M-T-;Latinoamericana;Real Sayana;Avellaneda;8601314;07762
777;1º;M-T-;;El Arenal;Jimenez;8601472;07777
778;2º;M;Nilda Rodriguez de Ruiz ;Villa Hipolita;Robles;8600663;07785
782;2º;M;Emilia Juárez de Sandoval ;Vaca Huañuna;Figueroa;8601520;07827
783;2º;M;Ramon Emilio Villagra;La Simona;Taboada;8601026;07835
784;1º;M-T-;Sor María Antonia de Paz Figueroa ;Tintina;Moreno;8601247;07843
788;2º;M;Dr. Rene Favaloro;Los Morales ;Capital;8601663;07882
796;1º;M;Justo Jose de Urquiza;Matara;Ibarra;8601207;07963
798;2º;M;Carolina de Polti;Los Cardozos;Capital;8600095;07986
800;2º;M;Juan Narciso Gallo;Icaño;Avellaneda;8600032;08003
803;1º;M-T-;;Frias;Choya;8601244;08034
804;2º;M;Fermin Sabalza;Barrancas;Salavina;8601376;08042
806;2º;M-T-;;El Ceibal;Copo;8600559;08065
814;1º;M-T-;Paula Albarracin de Sarmiento;Fernandez;Robles;8601198;08146
824;1º;M-T-;Dr. Jose B. Gorostiaga;La Rioja 1202 Bº Primera Junta;Capital;8601353;08243
825;2º;M;Carlos Camilo Diaz ;Campo del Cisne;Quebrachos;8600630;08251
827;2º;M;Gerásimo de Jesús Oosrio;Dique Frontal;Rio Hondo;8601423;08274
829;1º;M-T-;Manuel de Reyes Agudo;Pozuelos;Rio Hondo;8601289;08297
831;1º;M-T-;;Garza;Sarmiento;8601555;08316
