06/09/2023     LISTADO TESTIGO PERSONAL SIN PRESENTISMO      P g.


          Nro Control    Planta        Mes        Anio
          66012515          P          09          23
          66013435          P          09          23
          66013503          P          09          23
          66015592          P          09          23
          66014122          C          09          23
          66014203          C          09          23
          66013045          C          09          23
          66014245          C          09          23
          67004261          C          09          23
          67004371          C          09          23
          67003215          P          09          23
          67003854          P          09          23
          67004253          P          09          23
          68001043          P          09          23
          68002793          P          09          23
          68003891          P          09          23
          71008692          C          09          23
          71016695          C          09          23
          71077942          C          09          23
          73005474          C          09          23
          73006373          C          09          23
          73007803          C          09          23
          73008375          C          09          23
          73009892          C          09          23
          73010173          C          09          23
          73000681          P          09          23
          73000911          P          09          23
          73003304          P          09          23
          73004614          P          09          23
          73006784          P          09          23
          73007913          P          09          23
          73008003          P          09          23
          73008074          P          09          23
          73106152          P          09          23
          73009745          C          09          23
          73009533          C          09          23
          73009672          C          09          23
          73010534          C          09          23
          73009473          C          09          23
          73010233          C          09          23
          73011352          C          09          23
          73011991          C          09          23
          73001205          P          09          23
          73001823          P          09          23
          73003503          P          09          23
          73003812          P          09          23
          73003964          P          09          23
          73005791          P          09          23
          73006051          P          09          23
          73006302          P          09          23
          73006433          P          09          23
          73006441          P          09          23
          73007845          P          09          23
          73011085          P          09          23
          73106351          P          09          23
          73198272          P          09          23
          73199244          P          09          23
          73001454          P          09          23
          73002861          P          09          23
          73003032          P          09          23
          73003744          P          09          23
          73004724          P          09          23
          73006263          P          09          23
          73006483          P          09          23
          73006682          P          09          23
          73006695          P          09          23
          73006802          P          09          23
          73008765          P          09          23
          73106301          P          09          23
          73122975          P          09          23
          73150334          P          09          23
          73193044          P          09          23
          73197904          P          09          23
          73205265          P          09          23
          73205341          P          09          23
          74003294          P          09          23
          74029135          P          09          23
          74028773          P          09          23
          75004101          P          09          23
          75010385          P          09          23
          75052722          P          09          23
          75103793          P          09          23
          75123691          P          09          23
          75123895          P          09          23
          75138492          P          09          23
          75177255          P          09          23
          75177661          P          09          23
          75177771          P          09          23
          75178112          P          09          23
          75178141          P          09          23
          75198654          P          09          23
          75199192          P          09          23
          75211363          P          09          23
          75214361          P          09          23
          75216363          P          09          23
          75217102          P          09          23
          75219395          P          09          23
          75219434          P          09          23
          75219594          P          09          23
          75222822          P          09          23
          75222995          P          09          23
          75223022          P          09          23
          75223412          P          09          23
          75224002          P          09          23
          75225391          P          09          23
          75228802          P          09          23
          75231994          P          09          23
          75233182          P          09          23
          75233802          P          09          23
          75236533          P          09          23
          75239081          P          09          23
          75242584          P          09          23
          75243263          P          09          23
          75244502          P          09          23
          75245464          P          09          23
          75246122          P          09          23
          75257791          P          09          23
          75258894          P          09          23
          75269455          P          09          23
          75272445          P          09          23
          75280613          P          09          23
          75281384          P          09          23
          75281703          P          09          23
          75281981          P          09          23
          75282301          P          09          23
          75282961          P          09          23
          75283933          P          09          23
          75284874          P          09          23
          75284934          P          09          23
          75287555          P          09          23
          75298491          P          09          23
          75300395          P          09          23
          75300722          P          09          23
          75301294          P          09          23
          75301715          P          09          23
          75302892          P          09          23
          75305293          P          09          23
          75305395          P          09          23
          75305913          P          09          23
          75306294          P          09          23
          75298543          C          09          23
          75298844          C          09          23
          75299421          C          09          23
          75299743          C          09          23
          75299845          C          09          23
          75301011          C          09          23
          75302012          C          09          23
          75303602          C          09          23
          75303704          C          09          23
          75304001          C          09          23
          75304404          C          09          23
          75304514          C          09          23
          75304802          C          09          23
          75304815          C          09          23
          75305803          C          09          23
          75305905          C          09          23
          75306401          C          09          23
          75306493          C          09          23
          76225464          C          09          23
          76226562          C          09          23
          76259405          C          09          23
          76225854          C          09          23
          76227563          C          09          23
          76254845          C          09          23
          76260781          C          09          23
          76170494          P          09          23
          76170672          P          09          23
          76221512          P          09          23
          76228483          P          09          23
          76244581          P          09          23
          76185821          P          09          23
          76185834          P          09          23
          76215744          P          09          23
          76216685          P          09          23
          76217424          P          09          23
          76170143          P          09          23
          76187705          P          09          23
          76217762          P          09          23
          76225485          P          09          23
          76170151          P          09          23
          76189003          P          09          23
          76252631          C          09          23
          76185282          P          09          23
          76216012          P          09          23
          76225684          P          09          23
          76247194          P          09          23
          76192182          P          09          23
          76199485          P          09          23
          76181885          P          09          23
          76201703          C          09          23
          76323694          P          09          23
          76253535          C          09          23
          76233661          C          09          23
          76218014          P          09          23
          76239065          C          09          23
          76247615          P          09          23
          76218302          P          09          23
          76182195          P          09          23
          76218404          P          09          23
          76217945          C          09          23
          76252034          C          09          23
          76183581          P          09          23
          76233771          P          09          23
          76245794          P          09          23
          76176021          P          09          23
          76223014          C          09          23
          76176034          P          09          23
          76180481          P          09          23
          76184833          P          09          23
          76218124          P          09          23
          76224824          C          09          23
          77317091          C          09          23
          77104354          P          09          23
          77047125          P          09          23
          77075225          P          09          23
          77104642          P          09          23
          77105795          P          09          23
          77108251          P          09          23
          77142292          P          09          23
          77155541          P          09          23
          77192771          P          09          23
          77197352          P          09          23
          77198691          P          09          23
          77206583          P          09          23
          77212974          P          09          23
          77286295          P          09          23
          77280862          C          09          23
          77282673          C          09          23
          77284413          C          09          23
          77321485          C          09          23
          77218263          P          09          23
          77232733          P          09          23
          77245935          P          09          23
          77296994          P          09          23
          77251583          C          09          23
          77296554          C          09          23
          77316493          C          09          23
          77316833          C          09          23
          77316883          C          09          23
          77317295          C          09          23
          77317795          C          09          23
          77318013          C          09          23
          77318791          C          09          23
          77282995          C          09          23
          77319195          C          09          23
          77320311          C          09          23
          77320895          C          09          23
          77321621          C          09          23
          77322392          C          09          23
          77323592          C          09          23
          77323694          C          09          23
          77323995          C          09          23
          77325913          C          09          23
          77330905          C          09          23
          77330992          C          09          23
          77332402          C          09          23
          77332601          C          09          23
          77332805          C          09          23
          77327703          C          09          23
          77327915          C          09          23
          77328181          C          09          23
          77329904          C          09          23
          77330191          C          09          23
          77265972          P          09          23
          77285003          P          09          23
          77286151          P          09          23
          77288352          P          09          23
          77290901          P          09          23
          77291122          P          09          23
          77292712          P          09          23
          77294303          P          09          23
          77223124          P          09          23
          77230105          P          09          23
          77235901          P          09          23
          77238404          P          09          23
          77245731          P          09          23
          77264052          P          09          23
          77272152          P          09          23
          77272194          P          09          23
          77272343          P          09          23
          77275375          P          09          23
          77277055          P          09          23
          77281253          P          09          23
          77281402          P          09          23
          77006904          P          09          23
          77007905          P          09          23
          77316794          C          09          23
          77318814          C          09          23
          77318982          C          09          23
          77319124          C          09          23
          77319491          C          09          23
          77321105          C          09          23
          77323013          C          09          23
          77323283          C          09          23
          77323424          C          09          23
          77329792          C          09          23
          77322091          C          09          23
          77322583          C          09          23
          77327083          C          09          23
          77082832          P          09          23
          77107514          P          09          23
          77108264          P          09          23
          77228255          P          09          23
          77228713          P          09          23
          77236342          P          09          23
          77238975          P          09          23
          77239683          P          09          23
          77243051          P          09          23
          77246041          P          09          23
          77246211          P          09          23
          77234691          P          09          23
          77249701          P          09          23
          77251185          P          09          23
          77262924          P          09          23
          77263433          P          09          23
          77271253          P          09          23
          77274492          P          09          23
          77276994          P          09          23
          77278292          P          09          23
          77278755          P          09          23
          77280812          P          09          23
          77282652          P          09          23
          77286575          P          09          23
          77289803          P          09          23
          77290692          P          09          23
          77291392          P          09          23
          77295414          P          09          23
          77285972          P          09          23
          77284675          P          09          23
          77282275          P          09          23
          77077311          P          09          23
          77181181          P          09          23
          77181563          P          09          23
          77181571          P          09          23
          77181615          P          09          23
          77327805          C          09          23
          77328283          C          09          23
          77331595          C          09          23
          77319315          C          09          23
          77317415          C          09          23
          77282092          P          09          23
          77282835          P          09          23
          77227411          P          09          23
          77243064          P          09          23
          77224293          P          09          23
          77225715          P          09          23
          77217474          P          09          23
          77294104          P          09          23
          77288501          P          09          23
          77290451          P          09          23
          77330285          C          09          23
          77328291          C          09          23
          77329001          C          09          23
          77327122          C          09          23
          77319713          C          09          23
          77292084          C          09          23
          77292571          C          09          23
          77317622          C          09          23
          77199155          P          09          23
          77198293          P          09          23
          77180813          P          09          23
          77181254          P          09          23
          77181461          P          09          23
          77181665          P          09          23
          77181681          P          09          23
          77121233          P          09          23
          77106424          P          09          23
          77098375          P          09          23
          77098595          P          09          23
          77104113          P          09          23
          77246512          P          09          23
          77315861          C          09          23
          77317355          C          09          23
          77320073          C          09          23
          77197933          P          09          23
          77108015          P          09          23
          77233873          P          09          23
          77225794          P          09          23
          77292322          P          09          23
          77975784          P          09          23
          77976882          P          09          23
          77289191          P          09          23
          77316752          C          09          23
          77276782          C          09          23
          77321121          C          09          23
          77319975          C          09          23
          77318534          C          09          23
          77251884          P          09          23
          77229332          P          09          23
          77225192          P          09          23
          77231981          P          09          23
          77233085          P          09          23
          77246533          P          09          23
          77227704          P          09          23
          77124003          P          09          23
          77193191          P          09          23
          77321503          C          09          23
          77322143          C          09          23
          77315963          P          09          23
          77323301          P          09          23
          77193243          P          09          23
          77193311          P          09          23
          77124011          P          09          23
          77124171          P          09          23
          77124142          P          09          23
          77284662          P          09          23
          77293572          C          09          23
          77317083          C          09          23
          77322253          C          09          23
          77290671          P          09          23
          77206415          P          09          23
          77280715          P          09          23
          77283593          P          09          23
          77320141          C          09          23
          77195494          P          09          23
          77228674          P          09          23
          77246253          P          09          23
          77256693          P          09          23
          77258394          P          09          23
          77227194          P          09          23
          77297513          P          09          23
          77306794          P          09          23
          77308092          P          09          23
          77307494          P          09          23
          77230812          P          09          23
          77216232          P          09          23
          77284293          P          09          23
          77243124          P          09          23
          77294073          P          09          23
          77294243          P          09          23
          77221622          P          09          23
          77016234          P          09          23
          77270273          P          09          23
          77281101          P          09          23
          77332685          C          09          23
          77295171          P          09          23
          77268124          P          09          23
          77285061          P          09          23
          77242102          P          09          23
          77242932          P          09          23
          77243624          P          09          23
          77265493          P          09          23
          77318885          C          09          23
          77276753          C          09          23
          77104561          P          09          23
          77268721          P          09          23
          77268365          P          09          23
          77235634          P          09          23
          77283072          P          09          23
          77291151          P          09          23
          77103942          P          09          23
          77106673          P          09          23
          77324221          C          09          23
          77220113          P          09          23
          77233603          P          09          23
          77296041          P          09          23
          77013215          P          09          23
          77279743          P          09          23
          77105321          P          09          23
          77234641          P          09          23
          77193625          P          09          23
          77084143          P          09          23
          77236591          P          09          23
          77220511          P          09          23
          77293543          P          09          23
          77286795          P          09          23
          77240781          P          09          23
          77220223          P          09          23
          77250582          P          09          23
          77282364          C          09          23
          77264544          C          09          23
          77216402          P          09          23
          77237212          P          09          23
          77240692          P          09          23
          77229824          P          09          23
          77265804          P          09          23
          77281465          P          09          23
          77109692          P          09          23
          77292343          P          09          23
          77288331          P          09          23
          77285671          P          09          23
          77251384          P          09          23
          77108594          P          09          23
          77320471          C          09          23
          77320015          C          09          23
          77317334          C          09          23
          77322601          C          09          23
          77037683          C          09          23
          77317753          C          09          23
          77230485          P          09          23
          77194265          P          09          23
          77139192          P          09          23
          77243103          P          09          23
          77238705          P          09          23
          77216274          P          09          23
          77243904          P          09          23
          77264492          P          09          23
          77243001          P          09          23
          77191694          P          09          23
          77154252          P          09          23
          77241402          P          09          23
          77231651          P          09          23
          77243014          C          09          23
          77296172          P          09          23
          77241821          P          09          23
          77197742          P          09          23
          77309292          P          09          23
          77320332          C          09          23
          77320434          C          09          23
          77236512          P          09          23
          77231965          C          09          23
          77263603          P          09          23
          77317075          C          09          23
          77317664          P          09          23
          77317635          C          09          23
          77264285          P          09          23
          77318555          P          09          23
          77291774          P          09          23
          77198565          P          09          23
          77198832          P          09          23
          77214714          P          09          23
          77218904          P          09          23
          77009774          P          09          23
          77191034          P          09          23
          77107624          P          09          23
          77195994          P          09          23
          77232851          P          09          23
          77072052          P          09          23
          77321935          C          09          23
          77291952          P          09          23
          77138162          P          09          23
          77217131          P          09          23
          77295812          P          09          23
          77234442          P          09          23
          77295032          P          09          23
          77266672          P          09          23
          77279264          P          09          23
          77293962          P          09          23
          77249793          P          09          23
          78195782          P          09          23
          78197051          P          09          23
          81148345          P          09          23
          81147331          P          09          23
          81146665          C          09          23
          82008333          P          09          23
          82009554          P          09          23
          82012421          C          09          23
          82012764          C          09          23
          82007434          P          09          23
          82007594          P          09          23
          82008723          P          09          23
          82009185          P          09          23
          82010652          P          09          23
          82011323          P          09          23
          82013095          P          09          23
          82008524          C          09          23
          82012015          C          09          23
          82012031          C          09          23
          82012183          C          09          23
          82012675          C          09          23
          82012743          C          09          23
          82012845          C          09          23
          82012874          C          09          23
          82008891          P          09          23
          82012832          C          09          23
          84042405          P          09          23
          84038891          P          09          23
          84039004          P          09          23
          84041001          P          09          23
          84035791          P          09          23
          84036093          P          09          23
          84036593          P          09          23
          84036894          P          09          23
          84037191          P          09          23
          84003231          P          09          23
          85001352          P          09          23
          85001242          P          09          23
          85003435          P          09          23
          85002332          C          09          23
          85002523          C          09          23
          85005225          C          09          23
          86000631          P          09          23
          86002502          P          09          23
          88006624          P          09          23
          88006352          C          09          23
          88202005          C          09          23
          88005254          P          09          23
          88005385          C          09          23
          91006441          P          09          23
          91006865          P          09          23
          91006873          P          09          23
          95009931          C          09          23
          95010005          C          09          23
          95010322          C          09          23
          95901675          C          09          23
